contractSymbol,strike,Time to Maturity (Years),fairPrice,BS_Price,BS_Price_Function,Implied Volatility
SPX250620C09000000,9000.0,0.5917808219178082,0.1999999999999999,1.1703082843903022e-05,0.031132610518233683,
SPXW250630C02200000,2200.0,0.6191780821917808,3710.85,3737.68608621547,4196.312317212843,
SPXW250630C03500000,3500.0,0.6191780821917808,2469.75,2477.316046251963,3206.948617227818,
SPXW250630C03650000,3650.0,0.6191780821917808,2326.1000000000004,2331.8887339517287,3092.7912672295456,
SPXW250630C03750000,3750.0,0.6191780821917808,2230.5,2234.937192444917,3016.6863672306977,
SPXW250630C03900000,3900.0,0.6191780821917808,1701.45,2089.5098808156677,2902.5290172324253,
SPXW250630C03950000,3950.0,0.6191780821917808,2040.0,2041.0341111723974,2864.4765672330013,
SPXW250630C03975000,3975.0,0.6191780821917808,2016.25,2016.7962268651409,2845.4503422332896,
SPXW250630C04000000,4000.0,0.6191780821917808,1788.9,1992.5583431499604,2826.4241172335774,
SPXW250630C04050000,4050.0,0.6191780821917808,1945.1,1944.0825788497768,2788.3716672341534,
SPXW250630C04350000,4350.0,0.6191780821917808,1662.25,1653.2290575440138,2560.056967237609,
SPXW250630C04375000,4375.0,0.6191780821917808,1638.85,1628.9916184793165,2541.0307422378974,
SPXW250630C04400000,4400.0,0.6191780821917808,1615.45,1604.7543434484505,2522.004517238185,
SPXW250630C04425000,4425.0,0.6191780821917808,1592.15,1580.5172871125615,2502.9782922384734,
SPXW250630C04450000,4450.0,0.6191780821917808,1568.8,1556.2805203664693,2483.952067238761,
SPXW250630C04500000,4500.0,0.6191780821917808,1521.35,1507.8082463822393,2445.899617239337,
SPXW250630C04575000,4575.0,0.6191780821917808,1563.9,1435.1052553343989,2388.820942240201,
SPXW250630C04600000,4600.0,0.6191780821917808,1429.35,1410.873275694371,2369.7947172404893,
SPXW250630C04650000,4650.0,0.6191780821917808,1383.95,1362.41493004324,2331.742267241065,
SPXW250630C04675000,4675.0,0.6191780821917808,1360.65,1338.189553468551,2312.716042241353,
SPXW250630C04700000,4700.0,0.6191780821917808,1337.75,1313.9675501037045,2293.689817241641,
SPXW250630C04725000,4725.0,0.6191780821917808,1129.15,1289.7497179118736,2274.663592241929,
SPXW250630C04750000,4750.0,0.6191780821917808,1292.05,1265.5370144246099,2255.637367242217,
SPXW250630C04800000,4800.0,0.6191780821917808,1246.6,1217.1317744707421,2217.584917242793,
SPXW250630C04825000,4825.0,0.6191780821917808,1334.35,1192.942189106243,2198.5586922430807,
SPXW250630C04900000,4900.0,0.6191780821917808,855.95,1120.4490651695241,2141.480017243945,
SPXW250630C04925000,4925.0,0.6191780821917808,674.8,1096.3183654504892,2122.453792244233,
SPXW250630C04975000,4975.0,0.6191780821917808,639.7,1048.126930458502,2084.401342244809,
SPXW250630C05000000,5000.0,0.6191780821917808,1067.2,1024.0743122326212,2065.375117245097,
SPXW250630C05040000,5040.0,0.6191780821917808,1031.85,985.6652324045799,2034.9331572455576,
SPXW250630C05050000,5050.0,0.6191780821917808,1027.55,976.079624415599,2027.3226672456726,
SPXW250630C05075000,5075.0,0.6191780821917808,1005.9,952.149087654846,2008.2964422459613,
SPXW250630C05100000,5100.0,0.6191780821917808,979.1,928.2718626268925,1989.2702172462482,
SPXW250630C05150000,5150.0,0.6191780821917808,935.55,880.7078597632253,1951.2177672468242,
SPXW250630C05200000,5200.0,0.6191780821917808,892.3499999999999,833.4560665420586,1913.1653172474007,
SPXW250630C05225000,5225.0,0.6191780821917808,842.6,809.9719905473394,1894.139092247688,
SPXW250630C05250000,5250.0,0.6191780821917808,856.65,786.597226594813,1875.1128672479772,
SPXW250630C05275000,5275.0,0.6191780821917808,828.25,763.3438297369266,1856.086642248265,
SPXW250630C05300000,5300.0,0.6191780821917808,801.95,740.2246267983892,1837.060417248555,
SPXW250630C05325000,5325.0,0.6191780821917808,759.7,717.2531944908351,1818.0341922488442,
SPXW250630C05350000,5350.0,0.6191780821917808,727.3499999999999,694.443827800279,1799.007967249136,
SPXW250630C05375000,5375.0,0.6191780821917808,716.2,671.8114984062413,1779.9817422494311,
SPXW250630C05400000,5400.0,0.6191780821917808,723.5,649.3718030511382,1760.955517249733,
SPXW250630C05425000,5425.0,0.6191780821917808,702.95,627.1409019482508,1741.929292250049,
SPXW250630C05450000,5450.0,0.6191780821917808,682.45,605.1354474925347,1722.9030672503886,
SPXW250630C05475000,5475.0,0.6191780821917808,630.55,583.3725037167596,1703.8768422507737,
SPXW250630C05500000,5500.0,0.6191780821917808,641.95,561.8694571117667,1684.8506172512461,
SPXW250630C05525000,5525.0,0.6191780821917808,621.9000000000001,540.6439195998846,1665.8243922518714,
SPXW250630C05550000,5550.0,0.6191780821917808,602.0,519.7136246104719,1646.7981672527749,
SPXW250630C05570000,5570.0,0.6191780821917808,617.45,503.1938905197867,1631.5771872538398,
SPXW250630C05575000,5575.0,0.6191780821917808,582.25,499.09631735232415,1627.771942254175,
SPXW250630C05600000,5600.0,0.6191780821917808,562.6500000000001,478.80964050559214,1608.7457172564518,
SPXW250630C05625000,5625.0,0.6191780821917808,543.2,458.8710166626988,1589.7194922602575,
SPXW250630C05630000,5630.0,0.6191780821917808,539.35,454.9265688937876,1585.9142472612903,
SPXW250630C05650000,5650.0,0.6191780821917808,523.95,439.29752893090426,1570.6932672667072,
SPXW250630C05675000,5675.0,0.6191780821917808,504.9,420.1058011664136,1551.6670422776797,
SPXW250630C05700000,5700.0,0.6191780821917808,486.05,401.31187933997353,1532.6408172963156,
SPXW250630C05710000,5710.0,0.6191780821917808,478.55,393.90916104059306,1525.0303273069849,
SPXW250630C05725000,5725.0,0.6191780821917808,467.4,382.93111553589824,1513.6145923278045,
SPXW250630C05730000,5730.0,0.6191780821917808,538.95,379.3058372139267,1509.8093473363142,
SPXW250630C05750000,5750.0,0.6191780821917808,448.9500000000001,364.9780560604122,1494.5883673806402,
SPXW250630C05770000,5770.0,0.6191780821917808,434.35,350.9327509855452,1479.3673874472843,
SPXW250630C05775000,5775.0,0.6191780821917808,430.7,347.4663350817964,1475.5621424685942,
SPXW250630C05780000,5780.0,0.6191780821917808,427.1,344.01808115322046,1471.7568974921514,
SPXW250630C05800000,5800.0,0.6191780821917808,412.75,330.4085751452549,1456.5359176137727,
SPXW250630C05820000,5820.0,0.6191780821917808,398.5499999999999,317.09699949349533,1441.3149377941327,
